"id","trade_code","date","high","low","open","close","volume"
"5","1JANATAMF","2020-08-05","4.1","4.1","4.1","4.1","360"
"6","1JANATAMF","2020-08-04","4.1","4.1","4.1","4.1","15"
"7","1JANATAMF","2020-08-03","4.1","4.1","4.1","4.1","26"
"8","1JANATAMF","2020-07-30","4.1","4.1","4.1","4.1","3"
"9","1JANATAMF","2020-07-29","4.1","4.1","4.1","4.1","1"
"10","1JANATAMF","2020-07-28","4.1","4.1","4.1","4.1","1"
"11","1JANATAMF","2020-07-27","4.1","4.1","4.1","4.1","775"
"12","1JANATAMF","2020-07-26","4.1","4.1","4.1","4.1","3"
"13","1JANATAMF","2020-07-23","4.1","4.1","4.1","4.1","10"
"15","1JANATAMF","2020-07-21","4.1","4.1","4.1","4.1","13"
"16","1JANATAMF","2020-07-20","4.1","4.1","4.1","4.1","460"
"17","1JANATAMF","2020-07-19","4.1","4.1","4.1","4.1","760"
"18","1JANATAMF","2020-07-16","4.1","4.1","4.1","4.1","500"
"19","1JANATAMF","2020-07-15","4.1","4.1","4.1","4.1","18"
"20","1JANATAMF","2020-07-14","4.1","4.1","4.1","4.1","3"
"21","1JANATAMF","2020-07-13","4.1","4.1","4.1","4.1","6"
"22","1JANATAMF","2020-07-12","4.1","4.1","4.1","4.1","28"
"23","1JANATAMF","2020-07-09","4.1","4.1","4.1","4.1","30"
"24","1JANATAMF","2020-07-08","4.1","4.1","4.1","4.1","1"
"25","1JANATAMF","2020-07-07","4.1","4.1","4.1","4.1","21"
"26","1JANATAMF","2020-07-06","4.1","4.1","4.1","4.1","66"
"27","1JANATAMF","2020-07-05","4.1","4.1","4.1","4.1","1"
"29","1STPRIMFMF","2020-08-10","16","15.1","15.4","15.2","1"
"30","1STPRIMFMF","2020-08-09","15.8","14.4","14.7","15.2","1"
"31","1STPRIMFMF","2020-08-06","15.7","14.3","14.7","14.7","1"
"32","1STPRIMFMF","2020-08-05","14.6","13.3","13.4","14.6","2"
"33","1STPRIMFMF","2020-08-04","13.5","13.2","13.4","13.3","604"
"34","1STPRIMFMF","2020-08-03","13.7","13.2","13.5","13.3","712"
"35","1STPRIMFMF","2020-07-30","13.7","13.2","13.2","13.4","502"
"36","1STPRIMFMF","2020-07-29","13.8","13.1","13.8","13.2","637"
"37","1STPRIMFMF","2020-07-28","14","13.1","13.5","13.8","608"
"38","1STPRIMFMF","2020-07-27","13.8","13.4","13.6","13.5","711"
"39","1STPRIMFMF","2020-07-26","14.1","13.5","14","13.8","472"
"40","1STPRIMFMF","2020-07-23","14.8","13.7","13.9","13.9","851"
"41","1STPRIMFMF","2020-07-22","14.3","13.7","14.2","13.9","883"
"42","1STPRIMFMF","2020-07-21","14","12.9","12.9","13.9","1"
"43","1STPRIMFMF","2020-07-20","13","12.5","12.5","12.8","462"
"44","1STPRIMFMF","2020-07-19","13.2","12.4","13.2","12.5","401"
"45","1STPRIMFMF","2020-07-16","13.5","13.1","13.5","13.1","239"
"46","1STPRIMFMF","2020-07-15","13.6","12.9","13","13.4","308"
"47","1STPRIMFMF","2020-07-14","13.4","12.8","13.1","12.9","280"
"48","1STPRIMFMF","2020-07-13","13.5","13","13.4","13.2","478"
"49","1STPRIMFMF","2020-07-12","13.8","13.1","13.5","13.3","706"
"50","1STPRIMFMF","2020-07-09","13.5","12.5","12.5","13.5","758"
"51","1STPRIMFMF","2020-07-08","12.4","12","12.3","12.3","413"
"52","1STPRIMFMF","2020-07-07","12.4","12.1","12.1","12.2","239"
"53","1STPRIMFMF","2020-07-06","12.2","11.9","12","12","243"
"54","1STPRIMFMF","2020-07-05","12.3","11.9","12.3","12","247"
"55","1STPRIMFMF","2020-07-02","12.2","12","12.1","12.2","138"
"56","AAMRANET","2020-08-10","39.5","37.9","38.6","38.8","342"
"57","AAMRANET","2020-08-09","38.8","37.9","38.4","38.5","259"
"58","AAMRANET","2020-08-06","38","34","37.2","37.6","156"
"59","AAMRANET","2020-08-05","38","36.9","38","37","134"
"60","AAMRANET","2020-08-04","39","37.4","39","37.7","275"
"61","AAMRANET","2020-08-03","38.8","37.9","38.4","38.5","215"
"62","AAMRANET","2020-07-30","38.6","35.7","38.5","37.6","320"
"63","AAMRANET","2020-07-29","39.8","37.8","38.4","38.5","271"
"64","AAMRANET","2020-07-28","38.4","36.1","36.3","38.1","304"
"65","AAMRANET","2020-07-27","37.2","36","36.8","36.3","158"
"66","AAMRANET","2020-07-26","37.1","35.5","36.3","36.8","196"
"67","AAMRANET","2020-07-23","36.1","34.7","35","35.9","254"
"68","AAMRANET","2020-07-22","35.5","34.2","34.3","35","208"
"69","AAMRANET","2020-07-21","34.3","33.4","33.5","34.1","190"
"70","AAMRANET","2020-07-20","34","33.2","33.2","33.4","52"
"71","AAMRANET","2020-07-19","33.2","33.2","33.2","33.2","64"
"72","AAMRANET","2020-07-16","33.5","33.2","33.3","33.3","54"
"73","AAMRANET","2020-07-15","33.5","33.2","33.4","33.3","60"
"74","AAMRANET","2020-07-14","34.9","33.2","33.9","33.4","84"
"75","AAMRANET","2020-07-13","35.5","33.8","35","33.9","109"
"76","AAMRANET","2020-07-12","35.5","34.6","35","35.1","21"
"77","AAMRANET","2020-07-09","35.3","33.5","33.5","35","79"
"78","AAMRANET","2020-07-08","35.4","33.2","33.2","33.3","126"
"79","AAMRANET","2020-07-07","33.2","33.2","33.2","33.2","54"
"80","AAMRANET","2020-07-06","33.2","33.2","33.2","33.2","94"
"81","AAMRANET","2020-07-05","33.2","33.2","33.2","33.2","300"
"82","AAMRANET","2020-07-02","33.2","33.2","33.2","33.2","19"
"83","AAMRATECH","2020-08-10","26.2","25.5","26.2","25.6","72"
"84","AAMRATECH","2020-08-09","26.4","25.4","26.2","26.2","123"
"85","AAMRATECH","2020-08-06","26","24.9","24.9","25.8","137"
"86","AAMRATECH","2020-08-05","25","24.5","24.8","24.9","72"
